FECHA;SUB_20001;SUB_20003;SUB_20004;SUB_20005;SUB_20006;SUB_20007;SUB_20008;SUB_20010;SUB_20012;SUB_20013;SUB_20016;SUB_20031;SUB_20032;SUB_20035;SUB_20036;SUB_20038;SUB_20039;SUB_20040;SUB_20042;SUB_20043;SUB_20044;SUB_20045;SUB_20046;SUB_20048;SUB_20049;SUB_20051;SUB_20052;SUB_20054;SUB_20055;SUB_20056;SUB_20057;SUB_20058;SUB_20060;SUB_20065;SUB_20066;SUB_20068;SUB_20070;SUB_20071;SUB_20072;SUB_20081;SUB_20082;SUB_20083;SUB_20091;
2005-09-27;10678.48930;4546.79980;4965.87990;3384.24000;10456.21000;1215.66000;2116.41990;6.13880;14.36520;6.91430;3.73270;2.43800;0.11340;27.34160;27.63020;35.25880;38.00720;53.29850;16.45940;20.52090;28.09000;29.17800;11.48740;40.86520;13.65070;58.96090;7.26440;14.36040;27.11650;6.37140;9.75170;9.31640;29.97840;12.15380;7.23160;2.18700;1215.66000;2116.41990;10678.48930;1.37580;38.64760;3384.24000;12.56170;
2005-09-28;10801.68950;4599.62990;5048.74020;3429.41990;10473.08980;1216.89000;2115.39990;6.18870;14.29630;7.06010;3.80250;2.47080;0.11420;28.41210;28.16700;36.12440;39.00930;54.21350;16.77750;20.95280;28.46400;29.14670;11.60390;41.46840;13.71890;61.18530;7.59460;14.47190;27.32130;6.43950;9.91630;9.37230;30.06560;12.28040;7.26360;2.22980;1216.89000;2115.39990;10801.68950;1.36930;38.81870;3429.41990;12.79720;
2005-09-29;10780.58890;4578.85990;5021.16990;3412.75000;10552.78030;1227.68010;2141.22000;6.16150;14.40240;7.03580;3.81300;2.44750;0.11310;27.69640;27.49770;36.12440;38.95420;53.78460;16.69320;20.73340;28.50140;28.55120;11.52620;41.21540;13.62600;60.96560;7.59460;14.54630;27.40560;6.40970;9.86280;9.29930;29.90220;12.21450;7.30830;2.20870;1227.68010;2141.22000;10780.58890;1.36290;38.59050;3412.75000;12.64540;
2005-09-30;10813.88960;4600.02000;5044.12010;3428.51000;10568.70020;1228.81010;2151.68990;6.17500;14.30160;7.09420;3.81650;2.46130;0.11270;27.47230;27.93170;36.52840;38.99430;54.29920;16.99230;20.90490;28.61360;28.11240;11.48740;41.57870;13.69410;61.70160;7.59460;14.59410;27.35740;6.44380;9.82580;9.30170;29.98390;12.25000;7.38500;2.35300;1228.81010;2151.68990;10813.88960;1.37580;39.21800;3428.51000;12.69260;
2005-10-03;10880.68950;4622.54000;5082.06980;3449.34010;10535.48050;1226.70000;2155.42990;6.17500;14.46600;7.14760;3.82000;2.48350;0.11420;28.00760;28.13020;37.10540;39.36010;54.89970;17.38380;21.04880;28.89410;28.17510;11.64270;41.89000;13.90470;61.79500;7.59460;14.69510;27.20080;6.46500;9.78870;9.39180;30.16360;12.25000;7.41050;2.34480;1226.70000;2155.42990;10880.68950;1.38870;39.56030;3449.34010;12.94900;
2005-10-04;10919.18950;4650.24020;5138.02000;3464.23000;10441.11040;1214.47000;2139.36010;6.20230;14.25380;7.21080;3.83040;2.50790;0.11350;28.30630;29.41720;37.33630;39.87620;55.30000;17.56320;21.41220;28.85670;28.51980;11.80790;42.25980;14.07190;62.49250;7.59460;14.38690;26.92370;6.49910;9.63240;9.51590;30.33790;12.31070;7.39140;2.35850;1214.47000;2139.36010;10919.18950;1.44680;39.98810;3464.23000;13.08510;
2005-10-05;10823.08890;4594.10990;5069.41990;3418.84010;10317.36040;1196.39000;2103.02000;6.24310;13.80290;7.08930;3.78500;2.48990;0.11290;27.66530;28.21110;36.93230;39.14470;54.75680;17.29140;20.80890;28.63230;28.30050;11.67190;41.54620;13.92320;61.45450;7.59460;14.16380;26.06840;6.43950;9.63240;9.51100;29.90220;12.23990;7.32110;2.35300;1196.39000;2103.02000;10823.08890;1.44680;40.15920;3418.84010;12.96470;
2005-10-06;10750.88960;4536.89990;5017.27000;3384.14990;10287.09960;1191.49000;2084.08010;6.34730;13.54830;7.03580;3.75010;2.46760;0.11220;27.01180;27.49770;36.47060;38.67860;53.89890;17.04670;20.65110;28.35180;27.64230;11.39030;41.28670;13.74980;60.72400;7.59460;13.84500;25.50230;6.51610;9.75990;9.45380;29.62990;12.19430;7.29550;2.34210;1191.49000;2084.08010;10750.88960;1.44040;39.67430;3384.14990;12.71350;
2005-10-07;10732.38960;4528.79000;5007.77000;3374.10010;10292.30960;1195.90000;2090.35010;6.33830;13.55890;7.05530;3.73960;2.44860;0.11270;26.94950;27.29920;36.41290;38.57840;54.07050;17.09560;20.60320;28.22090;27.48560;11.39030;41.13110;13.58880;61.60820;7.26440;13.81310;25.64680;6.49480;9.69410;9.34920;29.26490;12.21450;7.33390;2.33780;1195.90000;2090.35010;10732.38960;1.43390;39.70290;3374.10010;12.82860;
2005-10-10;10800.58890;4536.22020;5022.79000;3381.16990;10238.75980;1187.33000;2078.91990;6.37910;13.52710;7.06980;3.78150;2.44750;0.11370;26.52630;26.82850;36.52840;39.07450;54.24210;17.23700;20.62370;28.29570;27.36030;11.33200;41.00790;13.50210;62.94290;7.26440;13.76530;25.69500;6.49480;9.69820;9.33340;29.00890;12.50810;7.28910;2.36340;1187.33000;2078.91990;10800.58890;1.45970;39.84550;3381.16990;12.89670;
